id_n,WT2016,WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030
33300030220026.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33300030220055.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33300030220069.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33300030220083.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33300030220111.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33300030220125.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33300030220153.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33300030220167.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33300030220181.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
33320011510026.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510043.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510077.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510094.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510111.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510145.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510162.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510196.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510213.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320011510230.0,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395,177.59395
33320012520018.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520036.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520054.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520089.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520107.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520143.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520160.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520178.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520214.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320012520232.0,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597,95.99597
33320020420014.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420022.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420030.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420046.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420055.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420071.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420079.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420087.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420103.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33320020420111.0,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538,159.60538
33340010320010.0,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708
33340010320021.0,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708
33340010320042.0,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708
33340010320053.0,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708
33340010320064.0,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708
33340010320085.0,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708,152.39708
